PRODUCT,DRAW NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4
DGRD,1,10/20/2016,10,27,51,83
DGRD,2,10/24/2016,3,15,72,77
DGRD,3,10/27/2016,6,12,39,69
DGRD,4,10/31/2016,18,33,37,58
DGRD,5,11/3/2016,45,67,77,91
DGRD,6,11/7/2016,13,21,87,91
DGRD,7,11/10/2016,25,34,45,63
DGRD,8,11/14/2016,1,7,73,94
DGRD,9,11/17/2016,17,30,61,77
DGRD,10,11/21/2016,6,27,70,86
DGRD,11,11/24/2016,31,42,49,98
DGRD,12,11/28/2016,4,75,87,92
DGRD,13,12/1/2016,10,50,68,96
DGRD,14,12/5/2016,7,28,32,99
DGRD,15,12/8/2016,16,28,58,71
DGRD,16,12/12/2016,4,8,49,56
DGRD,17,12/15/2016,1,8,9,78
DGRD,18,12/19/2016,9,27,48,60
DGRD,19,12/22/2016,2,18,31,88
DGRD,20,12/26/2016,2,40,80,88
DGRD,21,12/29/2016,32,37,43,97
DGRD,22,1/2/2017,3,42,44,90
DGRD,23,1/5/2017,22,30,63,78
DGRD,24,1/9/2017,31,61,82,96
DGRD,25,1/12/2017,28,34,61,83
DGRD,26,1/16/2017,47,52,77,91
DGRD,27,1/19/2017,5,14,15,39
DGRD,28,1/23/2017,22,54,61,92
DGRD,29,1/26/2017,16,50,55,91
DGRD,30,1/30/2017,10,28,45,67
DGRD,31,2/2/2017,41,46,66,86
DGRD,32,2/6/2017,4,6,13,42
DGRD,33,2/9/2017,45,51,56,71
DGRD,34,2/13/2017,1,9,28,76
DGRD,35,2/16/2017,4,6,61,84
DGRD,36,2/20/2017,3,14,18,61
DGRD,37,2/23/2017,28,40,53,94
DGRD,38,2/27/2017,22,24,92,99
DGRD,39,3/2/2017,11,22,33,95
DGRD,40,3/6/2017,4,45,74,96
DGRD,41,3/9/2017,3,8,44,69
DGRD,42,3/13/2017,57,76,85,89
DGRD,43,3/16/2017,3,5,30,78
DGRD,44,3/20/2017,10,31,32,43
DGRD,45,3/23/2017,4,38,61,81
DGRD,46,3/27/2017,4,23,57,98
DGRD,47,3/30/2017,10,50,93,94
DGRD,48,4/3/2017,22,29,43,92
DGRD,49,4/6/2017,3,8,14,74
DGRD,50,4/10/2017,3,16,43,51
DGRD,51,4/13/2017,11,40,74,91
DGRD,52,4/17/2017,23,43,66,82
DGRD,53,4/20/2017,2,7,9,74
DGRD,54,4/24/2017,30,47,91,98
